content,sentiment
"@Lycka_nam @iFood Foi o que fizeram, que ódio",1
"@So20EncherOsaco @otariopagador @ALECRlM Mo lorota, passei o ifood pra ele comprar p mim n quis, cornk",1
@stefanykrebs11 Vou pedir pro ifood entregar aí pra você 😂😂 e pra vc ficar mais calma da tpm,1
pedi comida no ifood escondido do meu irmão para não ter que dividir https://t.co/4hgWxHBRfK,1
"eu fui testar de fazer um pedido de 0,99 centavos no ifood, para ver se tava bugado ainda, e agora ta chegando uma rosquinha de leite condensado mto feio 😥😥😥",0
@iasmncec vou te mandar um no ifood,1
"18,00 um churros no ifood 😂😂 
só sei rir 🤣",0
@isaamello066 ent compra um mc donalds p mim no ifood,1
"@jluang_ Eu dodói então, já pedi no ifood kkkk",1
ai ai queria q chegasse um ifood aqui em casa do nada com hambúrguer do d’lenha,1
Pq ifood é tão caro meu deus,0
@ravlls Quero é tudo do ifood,2
"Eu não posso pedir ifood quando to com fome, preciso treinar meu cérebro pra comer algo antes, pq eu peço mt coisa desnecessária véi 😂",1
digo que não quero gastar o dinheiro dos meus pais com o inter mas gasto facilmente o valor do primeiro lote em 2 meses com compra do ifood...,1
a gente agenda o pedido do ifood e msm assim atrasa eh d fuder msm,0
Pedi batata no ifood por 1 real para jantar. Te amo @iFood,2
@anabelqs @iFood Meu Deus,1
"Sem dizer uma palavra, motoboy viraliza com vídeo sobre trabalho no iFood https://t.co/3dpW91NVEN",1
"@Alencareder1 @iFood Minha pressão chega baixou, cabeça",1
@anabelqs @iFood Arrocha! Kkk,1
Imagina essa menina que filmou o escritório do ifood se achando o máximo?,1
"Preguiça de fazer janta, fui entrar no Ifood e tinha promoção no Tita's Burguer, pedi na hora , melhor hambúrguer artesanal da vida 🤤🫶🏻",2
manda um ifood aqui para caso e eu falo se esperava ou não,1
A previsão de entrega do IFood não devia errar 😢,0
@mari_duarte @iFood Capaz de cancelarem o pedido e darem o reembolso. Acho cagado.,0
@melinopo pediu no ifood pra mim? 🥹🥹ownn🤍🤍🤍,1
Tem que ser rico pra pedir comida vegetariana no ifood tnc,0
IFOOD KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK esse kaique melo nao da,1
Essa nova interface do IFood tá horrível,0
"minha felicidade eh ver a hamburgueria que eu gosto na promoção do ifood por 4,99",2
fui pegar embalagem pra montar um pedido que saiu no ifood e 👁️👄👁️ https://t.co/qNTP9c3oEG,1
"China Ifood
Buyu coca 3 litros
Ramon Noé",1
"Pessoal do prédio fica doído, toda hora os cara vem trazer iFood",1
minha mãe se rendendo ao ifood and i love to see it,2
"Eu sinto falta da época que o ifood fazia aquelas promoções malucas de 1,00",0
"Disse pra minha namorada que tava triste e não queria fazer janta, ela mandou eu pedir ifood e meu deu o cartão",1
se o flamengo vencer hj eu fico 15 dias sem pedir ifood 🤝🏼,1
Comi de graça e ganhei cupom do iFood aí calica,2
"pessoal do ifood que coloca pedido mínimo de x valor, eu odeio cada um de vocês👍🏼",0
@arthurm65318376 @egoeruption Tem que virar a chave e ver a geladeira do trabalho como Ifood,1
@safadosdesejo Rodando no ifood para pagar dividas,1
"baseado nisso, vcs andariam comigo?

–  sexualidade: pan 
–  app fav: ifood? Kkk 
–  jogo fav: ?
–  signo: touro 
–   filme fav: clube da luta 
–  grupo fav: seventeen, zb1, nct, ateez, p1harmony (kpop) slipknot, a7x, metallica, soad (rock) kk
— msc fav: 505 - arctic monkeys",1
ifood aqui em guarapari botando o nome do prato de “polenta a mineira” e la em minas a gente chama de angu baiano kkkkkkkkkkk,1
"@choquei Se eu falar a vcs, que eu gasto esse valor kkkkkk
Agora, eu moro sozinho, o que ajuda pra caramba, minhas compras do mês passado deu por volta de 280 para 300.
Isso usando o ifood",1
So queria um cupom de 20 reais no ifood,1
"comprei um hambúrguer no ifood por 0,99 centavos KKK",2
Nem eu que moro sozinha e vivo de ifood consigo gastar só 300,1
Assim de saúde: fui procurar uma coisa no ifood procurei no spotify,1
"pedi um hambúrguer de 1 real, obrigada ifood 🙏🏻",2
Só queria essa promoção do iFood do mc mas só tá dando p comprar uma coisa 😭,0
